idquiz,idEstudiante,idQuestion,FechQuiz,Respuesta,Audit
16,1111,28,2017-10-13,c,"2017-10-13 16:28:48"
17,1000084151,17,2017-10-19,f,"2017-10-19 04:13:13"
17,1007242789,31,2017-10-19,a,"2017-10-19 15:32:09"
17,1007698570,25,2017-10-13,b,"2017-10-13 08:40:27"
17,1111,32,2017-10-13,c,"2017-10-13 16:28:50"
17,11903304,24,2017-10-20,a,"2017-10-20 13:44:18"
18,1000084151,18,2017-10-19,c,"2017-10-19 04:07:46"
18,1000639851,24,2017-10-20,a,"2017-10-20 13:44:22"
18,1001017060,27,2017-10-13,b,"2017-10-13 08:40:30"
18,1020488138,22,2017-10-19,b,"2017-10-19 15:32:24"
18,1111,9,2017-10-13,b,"2017-10-13 16:28:52"
19,1000084151,19,2017-10-19,b,"2017-10-19 04:26:46"
19,1001010939,20,2017-10-13,a,"2017-10-13 08:40:36"
19,1020488138,20,2017-10-19,a,"2017-10-19 15:32:36"
19,1111,20,2017-10-13,a,"2017-10-13 16:28:58"
19,11903304,26,2017-10-20,c,"2017-10-20 13:44:23"
20,1000084151,20,2017-10-19,a,"2017-10-19 04:01:04"
20,1001016932,16,2017-10-13,e,"2017-10-13 08:40:42"
20,1111,17,2017-10-13,f,"2017-10-13 16:29:02"
20,11903304,34,2017-10-20,a,"2017-10-20 13:44:32"
20,99112905746,19,2017-10-19,b,"2017-10-19 15:32:45"
21,1000084151,21,2017-10-19,c,"2017-10-19 04:10:45"
21,1000396112,29,2017-10-19,c,"2017-10-19 15:33:05"
21,1111,35,2017-10-13,b,"2017-10-13 16:29:21"
21,1128227439,33,2017-10-20,d,"2017-10-20 13:44:34"
21,99101702177,5,2017-10-13,c,"2017-10-13 08:40:43"
22,1000084151,22,2017-10-19,a,"2017-10-19 04:07:25"
22,1000639851,27,2017-10-20,c,"2017-10-20 13:44:39"
22,1001010939,13,2017-10-13,b,"2017-10-13 08:40:47"
22,1004578531,33,2017-10-19,d,"2017-10-19 15:33:15"
22,1111,3,2017-10-13,c,"2017-10-13 16:29:25"
23,1000084151,23,2017-10-19,b,"2017-10-19 04:01:42"
23,1007698570,15,2017-10-13,d,"2017-10-13 08:40:48"
23,1111,16,2017-10-13,e,"2017-10-13 16:29:47"
23,1128227439,15,2017-10-20,d,"2017-10-20 13:44:42"
23,99112905746,22,2017-10-19,c,"2017-10-19 15:33:32"
24,1000084151,24,2017-10-19,a,"2017-10-19 04:24:20"
24,1001016932,26,2017-10-13,c,"2017-10-13 08:40:58"
24,1004578531,16,2017-10-19,e,"2017-10-19 15:33:36"
24,1111,18,2017-10-13,c,"2017-10-13 16:30:13"
24,11903304,12,2017-10-20,b,"2017-10-20 13:44:42"
25,1000084151,25,2017-10-19,b,"2017-10-19 04:06:26"
25,1000396112,25,2017-10-19,c,"2017-10-19 15:33:45"
25,1000639851,19,2017-10-20,b,"2017-10-20 13:44:49"
25,1007350833,3,2017-10-13,c,"2017-10-13 08:41:03"
25,1111,10,2017-10-13,c,"2017-10-13 16:30:16"
26,1000084151,26,2017-10-19,c,"2017-10-19 04:06:17"
26,1001010939,17,2017-10-13,f,"2017-10-13 08:41:06"
26,1020488138,5,2017-10-19,c,"2017-10-19 15:33:53"
26,1111,27,2017-10-13,b,"2017-10-13 16:30:20"
26,11903304,5,2017-10-20,c,"2017-10-20 13:44:58"
27,1000084151,27,2017-10-19,c,"2017-10-19 04:20:19"
27,1000639851,11,2017-10-20,b,"2017-10-20 13:45:02"
27,1001017060,20,2017-10-13,a,"2017-10-13 08:41:07"
27,1111,31,2017-10-13,b,"2017-10-13 16:30:22"
27,99112905746,23,2017-10-19,b,"2017-10-19 15:34:02"
28,1000084151,28,2017-10-19,a,"2017-10-19 04:23:10"
28,1000099222,30,2017-10-13,a,"2017-10-13 08:41:08"
28,1020488138,27,2017-10-19,c,"2017-10-19 15:34:21"
28,1111,15,2017-10-13,d,"2017-10-13 16:30:28"
28,11903304,25,2017-10-20,b,"2017-10-20 13:45:04"
29,1000084151,29,2017-10-19,a,"2017-10-19 04:08:41"
29,1007240205,27,2017-10-19,c,"2017-10-19 15:34:31"
29,1111,29,2017-10-13,c,"2017-10-13 16:30:31"
29,99051402240,4,2017-10-20,a,"2017-10-20 13:45:06"
30,1000084151,30,2017-10-19,a,"2017-10-19 04:16:36"
30,1000099222,17,2017-10-13,f,"2017-10-13 08:41:15"
30,1000396112,7,2017-10-19,c,"2017-10-19 15:34:32"
30,1111,8,2017-10-13,b,"2017-10-13 16:30:33"
30,99051402240,3,2017-10-20,c,"2017-10-20 13:45:11"
31,1000084151,31,2017-10-19,a,"2017-10-19 04:26:02"
31,1007227098,39,2017-10-13,b,"2017-10-13 08:41:15"
31,1007242789,35,2017-10-19,a,"2017-10-19 15:34:36"
31,1111,11,2017-10-13,b,"2017-10-13 16:30:35"
32,1000084151,32,2017-10-19,b,"2017-10-19 03:59:50"
32,1001025819,1,2017-10-13,a,"2017-10-13 08:41:23"
32,1111,2,2017-10-13,c,"2017-10-13 16:30:38"
32,98061550763,27,2017-10-20,b,"2017-10-20 13:45:14"
33,1000084151,33,2017-10-19,d,"2017-10-19 04:06:59"
33,1007227098,31,2017-10-13,a,"2017-10-13 08:41:29"
33,1007242789,21,2017-10-19,c,"2017-10-19 15:34:42"
33,1111,4,2017-10-13,d,"2017-10-13 16:30:40"
33,11903304,14,2017-10-20,a,"2017-10-20 13:45:21"
34,1000084151,34,2017-10-19,a,"2017-10-19 04:13:59"
34,1000099222,7,2017-10-13,c,"2017-10-13 08:41:34"
34,1004578531,39,2017-10-19,a,"2017-10-19 15:34:58"
34,1111,24,2017-10-13,a,"2017-10-13 16:30:43"
34,1128227439,27,2017-10-20,c,"2017-10-20 13:45:23"
35,1000084151,35,2017-10-19,a,"2017-10-19 04:06:02"
35,1001233082,32,2017-10-13,c,"2017-10-13 08:41:40"
35,1007242789,36,2017-10-19,a,"2017-10-19 15:35:02"
35,1111,26,2017-10-13,c,"2017-10-13 16:30:46"
35,11903304,20,2017-10-20,a,"2017-10-20 13:45:24"
36,1000084151,36,2017-10-19,a,"2017-10-19 04:14:51"
36,1007242789,40,2017-10-19,a,"2017-10-19 15:35:10"
36,1111,38,2017-10-13,a,"2017-10-13 16:30:52"
36,11903304,2,2017-10-20,c,"2017-10-20 13:45:27"
37,1000084151,37,2017-10-19,a,"2017-10-19 04:22:23"
37,1000396112,39,2017-10-19,a,"2017-10-19 15:35:23"
37,1000639851,31,2017-10-20,a,"2017-10-20 13:45:27"
37,1007227098,29,2017-10-13,d,"2017-10-13 08:41:43"
37,1111,5,2017-10-13,a,"2017-10-13 16:30:55"
38,1000084151,38,2017-10-19,b,"2017-10-19 04:19:59"
38,1020488138,8,2017-10-19,b,"2017-10-19 15:35:28"
38,1111,39,2017-10-13,a,"2017-10-13 16:30:58"
38,1193118961,20,2017-10-20,a,"2017-10-20 13:45:28"
39,1000084151,39,2017-10-19,a,"2017-10-19 04:03:48"
39,1007227098,12,2017-10-13,b,"2017-10-13 08:41:53"
39,1111,33,2017-10-13,b,"2017-10-13 16:31:02"
40,1000084151,40,2017-10-19,a,"2017-10-19 04:24:13"
40,1000396112,38,2017-10-19,a,"2017-10-19 15:35:41"
40,1007227098,10,2017-10-13,c,"2017-10-13 08:42:03"
40,576891,17,2017-10-20,f,"2017-10-20 13:45:29"
41,1000088292,1,2017-10-19,b,"2017-10-19 04:36:28"
41,1001025819,16,2017-10-13,e,"2017-10-13 08:42:03"
41,1007240205,25,2017-10-19,a,"2017-10-19 15:35:52"
41,11903304,16,2017-10-20,e,"2017-10-20 13:45:31"
42,1000088292,2,2017-10-19,c,"2017-10-19 04:35:53"
42,1004578531,31,2017-10-19,c,"2017-10-19 15:36:14"
42,1128227439,26,2017-10-20,c,"2017-10-20 13:45:31"
43,1000088292,3,2017-10-19,c,"2017-10-19 04:34:08"
43,1000415794,32,2017-10-13,d,"2017-10-13 08:42:21"
43,1020488138,39,2017-10-19,a,"2017-10-19 15:36:24"
43,576891,16,2017-10-20,e,"2017-10-20 13:45:35"
44,1000088292,4,2017-10-19,c,"2017-10-19 04:38:21"
44,11903304,39,2017-10-20,a,"2017-10-20 13:45:36"
45,1000088292,5,2017-10-19,a,"2017-10-19 04:35:32"
45,1001233082,4,2017-10-13,c,"2017-10-13 08:42:33"
45,1007240205,15,2017-10-19,d,"2017-10-19 15:36:30"
45,11903304,15,2017-10-20,d,"2017-10-20 13:45:41"
46,1000088292,6,2017-10-19,c,"2017-10-19 04:34:01"
46,1000396112,23,2017-10-19,b,"2017-10-19 15:36:42"
46,576891,19,2017-10-20,b,"2017-10-20 13:45:44"
47,1000088292,7,2017-10-19,c,"2017-10-19 04:33:34"
47,1000396112,11,2017-10-19,b,"2017-10-19 15:36:47"
47,1001025819,22,2017-10-13,a,"2017-10-13 08:42:43"
47,11903304,18,2017-10-20,c,"2017-10-20 13:45:45"
48,1000088292,8,2017-10-19,b,"2017-10-19 04:36:33"
48,1000396112,40,2017-10-19,a,"2017-10-19 15:37:07"
48,1000645747,20,2017-10-20,a,"2017-10-20 13:45:47"
49,1000088292,9,2017-10-19,b,"2017-10-19 04:37:11"
49,1007240205,29,2017-10-19,a,"2017-10-19 15:37:08"
49,98061550763,22,2017-10-20,a,"2017-10-20 13:45:48"
50,1000088292,10,2017-10-19,c,"2017-10-19 04:36:14"
50,1001010939,4,2017-10-13,c,"2017-10-13 08:42:54"
50,1004578531,38,2017-10-19,a,"2017-10-19 15:37:09"
50,576891,25,2017-10-20,a,"2017-10-20 13:45:49"
51,1000088292,11,2017-10-19,b,"2017-10-19 04:35:38"
51,1004578531,17,2017-10-19,f,"2017-10-19 15:37:18"
51,11903304,4,2017-10-20,c,"2017-10-20 13:45:52"
52,1000088292,12,2017-10-19,b,"2017-10-19 04:38:16"
52,1001233082,14,2017-10-13,b,"2017-10-13 08:43:13"
53,1000088292,13,2017-10-19,b,"2017-10-19 04:36:24"
53,1000645747,11,2017-10-20,b,"2017-10-20 13:45:57"
53,1007240205,5,2017-10-19,c,"2017-10-19 15:37:28"
53,1007698570,28,2017-10-13,a,"2017-10-13 08:43:17"
54,1000088292,14,2017-10-19,b,"2017-10-19 04:34:46"
54,1001237675,10,2017-10-20,b,"2017-10-20 13:46:14"
54,1007242789,5,2017-10-19,c,"2017-10-19 15:37:31"
54,1007350833,4,2017-10-13,c,"2017-10-13 08:43:17"
55,1000088292,15,2017-10-19,d,"2017-10-19 04:34:54"
55,1000396112,32,2017-10-19,a,"2017-10-19 15:37:35"
55,11903304,33,2017-10-20,b,"2017-10-20 13:46:18"
56,1000088292,16,2017-10-19,e,"2017-10-19 04:35:16"
56,1001017060,28,2017-10-13,a,"2017-10-13 08:43:21"
56,1020488138,18,2017-10-19,c,"2017-10-19 15:37:45"
57,1000088292,17,2017-10-19,f,"2017-10-19 04:26:50"
57,1000396112,19,2017-10-19,b,"2017-10-19 15:38:08"
57,99051402240,21,2017-10-20,a,"2017-10-20 13:46:19"
57,99101702177,30,2017-10-13,a,"2017-10-13 08:43:25"
58,1000088292,18,2017-10-19,c,"2017-10-19 04:37:19"
58,1001010622,30,2017-10-13,c,"2017-10-13 08:43:25"
58,1007240205,38,2017-10-19,b,"2017-10-19 15:38:21"
58,11903304,37,2017-10-20,a,"2017-10-20 13:46:21"
59,1000088292,19,2017-10-19,c,"2017-10-19 04:26:43"
59,1000364018,36,2017-10-13,a,"2017-10-13 08:43:28"
59,1020488138,2,2017-10-19,c,"2017-10-19 15:38:26"
59,11903304,10,2017-10-20,b,"2017-10-20 13:46:24"
60,1000088292,20,2017-10-19,a,"2017-10-19 04:33:45"
60,1000099222,38,2017-10-13,a,"2017-10-13 08:43:29"
60,1001639404,17,2017-10-20,f,"2017-10-20 13:46:26"
60,1007240205,37,2017-10-19,a,"2017-10-19 15:38:32"
61,1000088292,21,2017-10-19,c,"2017-10-19 04:26:56"
61,1001017060,12,2017-10-13,b,"2017-10-13 08:43:30"
61,1007242789,30,2017-10-19,b,"2017-10-19 15:38:43"
62,1000088292,22,2017-10-19,a,"2017-10-19 04:33:40"
62,11903304,3,2017-10-20,c,"2017-10-20 13:46:31"
62,99112905746,21,2017-10-19,c,"2017-10-19 15:38:43"
63,1000088292,23,2017-10-19,b,"2017-10-19 04:35:56"
63,1000645747,23,2017-10-20,b,"2017-10-20 13:46:34"
63,1004578531,35,2017-10-19,a,"2017-10-19 15:38:44"
63,1007227098,6,2017-10-13,c,"2017-10-13 08:43:37"
64,1000088292,24,2017-10-19,a,"2017-10-19 04:34:35"
64,1004578531,36,2017-10-19,a,"2017-10-19 15:39:01"
65,1000088292,25,2017-10-19,b,"2017-10-19 04:38:05"
65,1001010939,28,2017-10-13,a,"2017-10-13 08:43:40"
65,1004578531,12,2017-10-19,b,"2017-10-19 15:39:09"
65,1007286802,30,2017-10-20,a,"2017-10-20 13:46:38"
66,1000088292,26,2017-10-19,c,"2017-10-19 04:34:17"
66,1001017060,10,2017-10-13,c,"2017-10-13 08:43:48"
66,1007240205,19,2017-10-19,b,"2017-10-19 15:39:14"
66,11903304,27,2017-10-20,c,"2017-10-20 13:46:40"
67,1000088292,27,2017-10-19,c,"2017-10-19 04:37:40"
67,1001025819,40,2017-10-13,a,"2017-10-13 08:43:51"
67,1001237675,13,2017-10-20,b,"2017-10-20 13:46:42"
67,1020488138,19,2017-10-19,b,"2017-10-19 15:39:17"
68,1000088292,28,2017-10-19,a,"2017-10-19 04:33:57"
68,1000645747,5,2017-10-20,a,"2017-10-20 13:46:42"
68,1004578531,10,2017-10-19,c,"2017-10-19 15:39:22"
69,1000088292,29,2017-10-19,d,"2017-10-19 04:27:16"
69,1000396112,15,2017-10-19,d,"2017-10-19 15:39:23"
69,1007350833,7,2017-10-13,c,"2017-10-13 08:43:56"
69,99051402240,7,2017-10-20,b,"2017-10-20 13:46:44"
70,1000088292,30,2017-10-19,a,"2017-10-19 04:38:46"
70,1001016932,37,2017-10-13,a,"2017-10-13 08:43:56"
71,1000088292,31,2017-10-19,a,"2017-10-19 04:37:59"
71,1001017349,8,2017-10-20,c,"2017-10-20 13:46:45"
71,1007698570,32,2017-10-13,d,"2017-10-13 08:44:01"
71,1020488138,40,2017-10-19,a,"2017-10-19 15:39:40"
72,1000088292,32,2017-10-19,a,"2017-10-19 04:35:12"
72,1007350833,38,2017-10-13,a,"2017-10-13 08:44:03"
72,99112905746,27,2017-10-19,c,"2017-10-19 15:39:51"
73,1000088292,33,2017-10-19,d,"2017-10-19 04:34:27"
73,1001016932,20,2017-10-13,a,"2017-10-13 08:44:03"
73,1004578531,21,2017-10-19,c,"2017-10-19 15:40:05"
73,98061550763,29,2017-10-20,a,"2017-10-20 13:46:47"
74,1000088292,34,2017-10-19,a,"2017-10-19 04:35:29"
74,1000099222,1,2017-10-13,b,"2017-10-13 08:44:13"
74,1007240205,39,2017-10-19,a,"2017-10-19 15:40:10"
74,11903304,7,2017-10-20,c,"2017-10-20 13:46:49"
75,1000088292,35,2017-10-19,a,"2017-10-19 04:37:47"
75,1007227098,18,2017-10-13,c,"2017-10-13 08:44:18"
75,1007286802,12,2017-10-20,b,"2017-10-20 13:46:49"
76,1000088292,36,2017-10-19,a,"2017-10-19 04:38:13"
76,1000396112,21,2017-10-19,c,"2017-10-19 15:40:20"
76,576891,30,2017-10-20,a,"2017-10-20 13:46:52"
77,1000088292,37,2017-10-19,b,"2017-10-19 04:37:06"
77,1001017060,34,2017-10-13,b,"2017-10-13 08:44:24"
77,1001250221,15,2017-10-19,d,"2017-10-19 15:40:25"
78,1000088292,38,2017-10-19,a,"2017-10-19 04:37:28"
78,1020488138,25,2017-10-19,a,"2017-10-19 15:40:30"
78,576891,8,2017-10-20,b,"2017-10-20 13:47:01"
79,1000088292,39,2017-10-19,a,"2017-10-19 04:34:40"
79,1001010939,18,2017-10-13,c,"2017-10-13 08:44:28"
79,1193118961,4,2017-10-20,c,"2017-10-20 13:47:02"
80,1000088292,40,2017-10-19,a,"2017-10-19 04:38:29"
80,1007227098,2,2017-10-13,c,"2017-10-13 08:44:36"
80,11903304,23,2017-10-20,b,"2017-10-20 13:47:04"
80,1193556427,6,2017-10-19,c,"2017-10-19 15:40:32"
81,1000088513,1,2017-10-19,b,"2017-10-19 04:29:06"
81,1007286682,23,2017-10-20,b,"2017-10-20 13:47:04"
81,1193556427,26,2017-10-19,c,"2017-10-19 15:40:41"
82,1000088513,2,2017-10-19,c,"2017-10-19 04:28:03"
82,1000547078,27,2017-10-13,c,"2017-10-13 08:44:43"
82,1007240205,24,2017-10-19,a,"2017-10-19 15:40:54"
82,1007286802,8,2017-10-20,b,"2017-10-20 13:47:07"
83,1000088513,3,2017-10-19,c,"2017-10-19 04:27:49"
83,1007227098,13,2017-10-13,b,"2017-10-13 08:44:43"
83,1007242789,28,2017-10-19,c,"2017-10-19 15:40:55"
83,98061550763,34,2017-10-20,a,"2017-10-20 13:47:10"
84,1000088513,4,2017-10-19,c,"2017-10-19 04:29:44"
84,1000396112,9,2017-10-19,b,"2017-10-19 15:40:59"
84,1007227098,25,2017-10-13,b,"2017-10-13 08:44:50"
84,1007286802,24,2017-10-20,a,"2017-10-20 13:47:12"
85,1000088513,5,2017-10-19,a,"2017-10-19 04:24:45"
85,1000396112,13,2017-10-19,b,"2017-10-19 15:41:06"
85,1000415794,25,2017-10-13,a,"2017-10-13 08:44:54"
86,1000088513,6,2017-10-19,c,"2017-10-19 04:24:21"
86,1001017060,1,2017-10-13,b,"2017-10-13 08:44:55"
86,11903304,29,2017-10-20,a,"2017-10-20 13:47:15"
86,1193556427,8,2017-10-19,b,"2017-10-19 15:41:19"
87,1000088513,7,2017-10-19,c,"2017-10-19 04:19:25"
87,1193556427,7,2017-10-19,c,"2017-10-19 15:41:35"
87,576891,32,2017-10-20,b,"2017-10-20 13:47:15"
88,1000088513,8,2017-10-19,b,"2017-10-19 04:10:17"
88,1007350833,18,2017-10-13,c,"2017-10-13 08:45:00"
88,1193556427,15,2017-10-19,d,"2017-10-19 15:41:47"
89,1000088513,9,2017-10-19,b,"2017-10-19 04:26:54"
89,1000396112,5,2017-10-19,a,"2017-10-19 15:41:53"
89,1007227098,1,2017-10-13,b,"2017-10-13 08:45:00"
89,1007658645,1,2017-10-20,b,"2017-10-20 13:47:17"
90,1000088513,10,2017-10-19,b,"2017-10-19 04:26:25"
90,1000415794,12,2017-10-13,b,"2017-10-13 08:45:03"
90,1004578531,6,2017-10-19,c,"2017-10-19 15:42:04"
90,576891,24,2017-10-20,a,"2017-10-20 13:47:21"
91,1000088513,11,2017-10-19,b,"2017-10-19 04:04:28"
91,1001237675,16,2017-10-20,e,"2017-10-20 13:47:21"
91,1007242789,20,2017-10-19,a,"2017-10-19 15:42:05"
92,1000088513,12,2017-10-19,b,"2017-10-19 04:29:19"
92,1000396112,12,2017-10-19,b,"2017-10-19 15:42:07"
92,1001233082,19,2017-10-13,b,"2017-10-13 08:45:09"
93,1000088513,13,2017-10-19,b,"2017-10-19 04:16:51"
93,1004578531,20,2017-10-19,a,"2017-10-19 15:42:12"
93,1007350833,19,2017-10-13,b,"2017-10-13 08:45:15"
93,1193398143,8,2017-10-20,b,"2017-10-20 13:47:30"
94,1000088513,14,2017-10-19,b,"2017-10-19 04:29:14"
94,1001025819,15,2017-10-13,d,"2017-10-13 08:45:18"
94,1020488138,13,2017-10-19,b,"2017-10-19 15:42:16"
95,1000088513,15,2017-10-19,d,"2017-10-19 04:27:04"
95,1001010939,26,2017-10-13,c,"2017-10-13 08:45:22"
95,1001639404,16,2017-10-20,e,"2017-10-20 13:47:37"
95,1004578531,11,2017-10-19,b,"2017-10-19 15:42:19"
96,1000088513,16,2017-10-19,e,"2017-10-19 04:27:29"
96,1001017060,25,2017-10-13,b,"2017-10-13 08:45:27"
96,1007242789,15,2017-10-19,d,"2017-10-19 15:42:20"
97,1000088513,17,2017-10-19,f,"2017-10-19 04:17:09"
97,1000396112,28,2017-10-19,a,"2017-10-19 15:42:21"
97,1007227098,9,2017-10-13,b,"2017-10-13 08:45:35"
97,99081210604,25,2017-10-20,a,"2017-10-20 13:47:42"
98,1000088513,18,2017-10-19,c,"2017-10-19 04:28:11"
98,1007242789,8,2017-10-19,b,"2017-10-19 15:42:24"
98,576891,28,2017-10-20,c,"2017-10-20 13:47:44"
99,1000088513,19,2017-10-19,b,"2017-10-19 04:25:32"
99,1000547078,9,2017-10-13,b,"2017-10-13 08:45:45"
99,1007240205,8,2017-10-19,c,"2017-10-19 15:42:26"
100,1000088513,20,2017-10-19,a,"2017-10-19 03:58:53"
100,1007227098,21,2017-10-13,a,"2017-10-13 08:45:48"
100,1007242789,13,2017-10-19,b,"2017-10-19 15:42:36"
100,1007286802,10,2017-10-20,c,"2017-10-20 13:47:47"
101,1000088513,21,2017-10-19,a,"2017-10-19 04:13:34"
101,1001017060,19,2017-10-13,b,"2017-10-13 08:45:51"
101,1007240205,12,2017-10-19,b,"2017-10-19 15:42:42"
102,1000088513,22,2017-10-19,b,"2017-10-19 04:18:49"
102,1001016932,29,2017-10-13,a,"2017-10-13 08:45:55"
102,1007242789,23,2017-10-19,b,"2017-10-19 15:42:44"
102,576891,15,2017-10-20,d,"2017-10-20 13:47:50"
103,1000088513,23,2017-10-19,b,"2017-10-19 04:28:53"
103,1001010622,1,2017-10-13,b,"2017-10-13 08:45:55"
103,1007242789,33,2017-10-19,c,"2017-10-19 15:42:54"
104,1000088513,24,2017-10-19,a,"2017-10-19 04:23:44"
104,1000099222,31,2017-10-13,c,"2017-10-13 08:45:57"
105,1000088513,25,2017-10-19,a,"2017-10-19 04:26:07"
105,1000099222,12,2017-10-13,b,"2017-10-13 08:46:02"
105,1001639404,4,2017-10-20,c,"2017-10-20 13:48:00"
105,1007242789,29,2017-10-19,a,"2017-10-19 15:43:02"
106,1000088513,26,2017-10-19,c,"2017-10-19 04:16:18"
106,1000415794,7,2017-10-13,c,"2017-10-13 08:46:02"
106,1193556427,35,2017-10-19,a,"2017-10-19 15:43:09"
107,1000088513,27,2017-10-19,c,"2017-10-19 04:30:18"
107,1001237675,30,2017-10-20,b,"2017-10-20 13:48:01"
107,1007227098,27,2017-10-13,c,"2017-10-13 08:46:06"
107,1007242789,1,2017-10-19,b,"2017-10-19 15:43:16"
108,1000088513,28,2017-10-19,a,"2017-10-19 04:14:50"
108,1000099222,20,2017-10-13,a,"2017-10-13 08:46:12"
108,1000396112,3,2017-10-19,c,"2017-10-19 15:43:18"
108,576891,22,2017-10-20,a,"2017-10-20 13:48:02"
109,1000088513,29,2017-10-19,a,"2017-10-19 04:13:23"
109,1001016932,33,2017-10-13,d,"2017-10-13 08:46:15"
109,1004578531,37,2017-10-19,a,"2017-10-19 15:43:20"
110,1000088513,30,2017-10-19,a,"2017-10-19 04:30:04"
110,1001017060,26,2017-10-13,c,"2017-10-13 08:46:15"
110,1004578531,13,2017-10-19,b,"2017-10-19 15:43:37"
110,1007286802,20,2017-10-20,a,"2017-10-20 13:48:05"
111,1000088513,31,2017-10-19,a,"2017-10-19 04:11:28"
